order_id,order_date,customer_id,region,product,category,quantity,amount_cents
33,2026-04-15,1196,ap-south,toolkit-deluxe,tools,5,79995
34,2026-03-26,1042,us-west,widget-pro,widgets,5,49995
35,2026-01-28,1182,ap-south,gadget-mini,gadgets,2,2998
36,2026-03-27,1112,ap-south,gadget-mini,gadgets,3,4944
37,2026-01-16,1016,ap-south,toolkit,tools,2,8998
38,2026-03-17,1150,us-east,gadget-mini,gadgets,2,2998
39,2026-01-10,1058,us-east,widget-pro,widgets,1,10998
40,2026-04-21,1131,us-east,widget-basic,widgets,1,1999
41,2026-03-27,1138,eu-west,widget-pro,widgets,2,19998
42,2026-02-01,1104,ap-south,widget-pro,widgets,4,47992
43,2026-01-13,1090,us-east,widget-pro,widgets,4,43992
44,2026-03-01,1172,ap-south,gadget-pro,gadgets,1,15598
45,2026-01-08,1027,us-east,toolkit-deluxe,tools,3,59997
46,2026-01-25,1035,us-west,widget-pro,widgets,4,39996
47,2026-02-05,1019,us-west,gadget-pro,gadgets,2,25998
48,2026-01-07,1003,us-east,gadget-pro,gadgets,5,71490
49,2026-01-22,1123,us-west,widget-basic,widgets,4,7996
50,2026-04-26,1097,ap-south,widget-pro,widgets,2,15998
51,2026-02-03,1073,ap-south,widget-basic,widgets,4,9592
52,2026-01-20,1055,ap-south,gadget-pro,gadgets,3,35097
53,2026-04-06,1012,us-east,widget-basic,widgets,1,1999
54,2026-03-06,1040,ap-south,toolkit,tools,5,29990
55,2026-04-19,1152,us-east,widget-basic,widgets,1,1799
56,2026-02-21,1063,us-west,widget-basic,widgets,5,7995
57,2026-03-21,1168,us-east,toolkit,tools,4,15996
58,2026-04-30,1171,eu-west,toolkit,tools,2,9998
59,2026-01-31,1033,eu-west,toolkit-deluxe,tools,4,79996
60,2026-02-28,1002,eu-west,toolkit-deluxe,tools,1,19999
61,2026-01-10,1129,us-east,gadget-pro,gadgets,2,25998
62,2026-04-30,1062,us-west,gadget-mini,gadgets,1,1499
63,2026-01-21,1180,eu-west,gadget-mini,gadgets,5,7495
64,2026-03-27,1076,us-east,gadget-mini,gadgets,5,8990
65,2026-04-23,1029,us-east,toolkit-deluxe,tools,3,53997
66,2026-02-04,1053,us-west,widget-basic,widgets,5,9995
67,2026-01-27,1129,eu-west,toolkit-deluxe,tools,3,65994
68,2026-04-26,1023,eu-west,gadget-pro,gadgets,1,15598
69,2026-04-17,1000,ap-south,toolkit-deluxe,tools,1,19999
70,2026-03-23,1189,us-west,gadget-mini,gadgets,2,2998
71,2026-03-13,1019,ap-south,gadget-pro,gadgets,1,10399
72,2026-03-11,1149,us-west,toolkit-deluxe,tools,3,47997
73,2026-02-25,1078,us-west,toolkit,tools,1,4499
74,2026-04-26,1174,us-east,gadget-mini,gadgets,2,2998
75,2026-02-15,1104,us-east,widget-pro,widgets,5,59990
76,2026-04-29,1045,us-west,toolkit,tools,2,8998
77,2026-01-23,1105,us-east,gadget-pro,gadgets,3,42894
78,2026-02-04,1097,us-west,toolkit-deluxe,tools,1,17999
79,2026-01-29,1089,ap-south,widget-basic,widgets,4,7196
80,2026-01-29,1102,us-west,gadget-mini,gadgets,2,2398
81,2026-04-21,1089,eu-west,gadget-mini,gadgets,3,3597
82,2026-03-28,1084,ap-south,toolkit-deluxe,tools,5,119990
83,2026-04-23,1148,us-east,widget-basic,widgets,2,3998
84,2026-01-14,1088,us-east,gadget-mini,gadgets,4,5996
85,2026-02-25,1029,eu-west,toolkit-deluxe,tools,5,99995
86,2026-02-02,1000,us-west,gadget-pro,gadgets,4,41596
87,2026-02-16,1170,us-west,toolkit,tools,1,4999
88,2026-03-26,1184,eu-west,gadget-mini,gadgets,1,1798
89,2026-03-27,1103,eu-west,gadget-mini,gadgets,3,4497
90,2026-03-12,1107,eu-west,toolkit-deluxe,tools,2,35998
91,2026-03-28,1157,ap-south,toolkit-deluxe,tools,2,43996
92,2026-02-21,1077,eu-west,toolkit,tools,1,4999
93,2026-02-25,1155,us-west,gadget-mini,gadgets,5,8990
94,2026-03-01,1172,eu-west,toolkit-deluxe,tools,4,79996
95,2026-04-12,1168,ap-south,widget-pro,widgets,2,23996
96,2026-03-07,1085,eu-west,widget-basic,widgets,5,10990
97,2026-03-28,1050,us-west,widget-basic,widgets,2,3998
98,2026-01-06,1156,us-east,widget-pro,widgets,4,35996
99,2026-02-23,1049,ap-south,widget-basic,widgets,5,10990
100,2026-03-05,1037,ap-south,toolkit-deluxe,tools,2,39998
101,2026-04-25,1199,us-east,toolkit-deluxe,tools,1,23998
102,2026-01-23,1118,us-west,gadget-pro,gadgets,5,77990
103,2026-04-28,1116,us-west,widget-basic,widgets,1,2398
104,2026-03-27,1152,ap-south,widget-pro,widgets,5,49995
105,2026-03-20,1109,ap-south,gadget-mini,gadgets,5,8990
106,2026-04-25,1115,ap-south,toolkit,tools,4,17996
107,2026-04-18,1196,us-west,gadget-mini,gadgets,3,4944
108,2026-03-22,1112,ap-south,toolkit,tools,3,13497
109,2026-01-31,1081,eu-west,widget-basic,widgets,3,5997
110,2026-01-18,1098,us-east,toolkit,tools,2,8998
111,2026-04-01,1106,us-west,toolkit-deluxe,tools,1,17999
112,2026-03-11,1015,eu-west,gadget-pro,gadgets,4,51996
113,2026-02-19,1178,ap-south,widget-pro,widgets,5,59990
114,2026-03-03,1076,ap-south,widget-basic,widgets,3,4797
115,2026-03-10,1154,ap-south,gadget-pro,gadgets,5,71490
116,2026-01-29,1124,ap-south,widget-pro,widgets,4,39996
117,2026-02-13,1185,ap-south,widget-basic,widgets,4,8792
118,2026-04-28,1136,ap-south,widget-pro,widgets,5,44995
119,2026-03-17,1021,ap-south,widget-basic,widgets,1,1999
120,2026-01-18,1046,ap-south,toolkit-deluxe,tools,4,95992
121,2026-02-18,1116,eu-west,widget-basic,widgets,2,3998
122,2026-04-08,1192,eu-west,gadget-mini,gadgets,3,4497
123,2026-04-17,1004,eu-west,gadget-pro,gadgets,4,41596
124,2026-02-14,1199,us-east,toolkit-deluxe,tools,1,17999
125,2026-04-07,1051,us-east,toolkit-deluxe,tools,2,31998
126,2026-01-31,1171,us-west,widget-basic,widgets,4,7196
127,2026-03-01,1196,us-west,widget-basic,widgets,3,6594
128,2026-03-19,1199,us-west,gadget-mini,gadgets,1,1499
129,2026-01-14,1079,eu-west,widget-pro,widgets,1,9999
130,2026-02-20,1019,ap-south,toolkit,tools,2,10996
131,2026-01-14,1175,us-west,toolkit,tools,3,16494
132,2026-04-12,1088,us-east,toolkit,tools,1,4999
133,2026-03-26,1129,ap-south,toolkit,tools,1,4999
134,2026-01-02,1125,eu-west,toolkit-deluxe,tools,4,95992
135,2026-02-16,1181,ap-south,widget-basic,widgets,4,8792
136,2026-01-23,1166,ap-south,widget-pro,widgets,5,54990
137,2026-03-01,1068,ap-south,gadget-mini,gadgets,5,7495
138,2026-04-17,1115,us-west,gadget-mini,gadgets,3,3597
139,2026-03-14,1086,ap-south,widget-pro,widgets,4,39996
140,2026-04-19,1124,ap-south,widget-basic,widgets,2,3998
141,2026-04-13,1071,eu-west,widget-pro,widgets,3,29997
142,2026-03-13,1048,eu-west,toolkit,tools,5,19995
143,2026-04-03,1142,us-west,widget-basic,widgets,4,7996
144,2026-03-24,1114,ap-south,widget-pro,widgets,4,43992
145,2026-02-07,1177,us-east,widget-basic,widgets,4,7196
146,2026-03-26,1121,eu-west,widget-pro,widgets,3,29997
147,2026-02-24,1084,eu-west,toolkit,tools,5,27490
148,2026-02-04,1059,ap-south,gadget-mini,gadgets,3,4497
149,2026-02-10,1195,us-west,widget-basic,widgets,5,7995
150,2026-01-25,1070,us-west,toolkit-deluxe,tools,4,71996
151,2026-01-13,1075,eu-west,toolkit-deluxe,tools,2,47996
152,2026-01-23,1181,eu-west,widget-pro,widgets,1,9999
153,2026-02-05,1141,us-west,toolkit,tools,1,3999
154,2026-03-23,1026,us-west,gadget-mini,gadgets,4,7192
155,2026-03-02,1087,eu-west,widget-basic,widgets,4,7996
156,2026-02-02,1029,us-east,widget-pro,widgets,4,47992
157,2026-03-04,1161,ap-south,widget-basic,widgets,5,7995
158,2026-01-20,1077,us-east,toolkit-deluxe,tools,5,89995
159,2026-01-16,1155,us-west,widget-basic,widgets,4,7996
160,2026-04-10,1115,us-west,toolkit,tools,4,19996
161,2026-04-21,1078,eu-west,gadget-pro,gadgets,4,51996
162,2026-03-20,1195,us-east,toolkit,tools,1,5498
163,2026-02-03,1040,us-west,widget-pro,widgets,1,10998
164,2026-03-12,1000,us-west,widget-pro,widgets,2,15998
165,2026-03-30,1074,ap-south,gadget-pro,gadgets,4,51996
166,2026-02-06,1179,us-west,widget-basic,widgets,3,6594
167,2026-03-29,1160,us-east,gadget-pro,gadgets,3,35097
168,2026-02-24,1057,us-west,toolkit,tools,5,19995
169,2026-04-27,1018,us-west,toolkit-deluxe,tools,2,39998
170,2026-04-12,1191,us-west,widget-basic,widgets,5,9995
171,2026-02-26,1176,eu-west,toolkit,tools,4,15996
172,2026-02-04,1126,ap-south,gadget-mini,gadgets,5,7495
173,2026-03-18,1188,us-east,gadget-pro,gadgets,4,41596
174,2026-01-04,1172,eu-west,gadget-mini,gadgets,2,2398
175,2026-04-08,1147,us-east,toolkit,tools,3,16494
176,2026-03-02,1071,us-west,widget-basic,widgets,4,7996
177,2026-03-23,1023,ap-south,widget-pro,widgets,4,47992
178,2026-02-22,1171,eu-west,gadget-pro,gadgets,3,38997
179,2026-02-12,1073,us-west,widget-basic,widgets,4,7996
180,2026-04-15,1009,ap-south,toolkit-deluxe,tools,5,119990
181,2026-02-10,1029,us-east,gadget-pro,gadgets,3,38997
182,2026-03-26,1118,us-east,gadget-pro,gadgets,5,77990
183,2026-01-25,1159,us-east,gadget-pro,gadgets,3,38997
184,2026-04-08,1068,ap-south,gadget-pro,gadgets,2,20798
185,2026-04-29,1178,us-west,toolkit,tools,4,19996
186,2026-01-04,1061,us-east,gadget-pro,gadgets,5,71490
187,2026-02-09,1141,us-west,toolkit-deluxe,tools,1,19999
188,2026-01-29,1118,us-east,gadget-pro,gadgets,1,15598
189,2026-03-05,1130,us-west,widget-basic,widgets,3,6594
190,2026-02-23,1120,eu-west,toolkit-deluxe,tools,4,95992
191,2026-03-12,1048,ap-south,widget-pro,widgets,4,35996
192,2026-04-21,1197,us-west,toolkit,tools,3,11997
193,2026-04-30,1068,eu-west,gadget-pro,gadgets,5,77990
194,2026-04-03,1148,eu-west,widget-basic,widgets,5,9995
195,2026-04-21,1137,ap-south,toolkit-deluxe,tools,4,71996
196,2026-02-12,1096,eu-west,gadget-pro,gadgets,5,64995
197,2026-04-22,1146,eu-west,gadget-pro,gadgets,2,23398
198,2026-04-20,1011,us-west,gadget-pro,gadgets,4,62392
199,2026-04-01,1098,ap-south,gadget-mini,gadgets,4,7192
200,2026-03-05,1128,us-west,toolkit-deluxe,tools,2,31998
201,2026-04-22,1025,eu-west,toolkit,tools,4,15996
202,2026-01-02,1104,ap-south,toolkit,tools,2,10996
203,2026-01-10,1086,us-west,toolkit-deluxe,tools,3,59997
204,2026-03-25,1172,ap-south,toolkit,tools,3,11997
205,2026-02-10,1138,ap-south,toolkit,tools,4,21992
206,2026-01-31,1058,us-east,widget-basic,widgets,3,6594
207,2026-02-25,1113,us-east,toolkit-deluxe,tools,1,15999
208,2026-04-26,1083,eu-west,widget-pro,widgets,1,7999
209,2026-02-15,1037,eu-west,widget-basic,widgets,4,7996
210,2026-03-14,1043,ap-south,widget-pro,widgets,2,21996
211,2026-03-20,1158,us-east,widget-pro,widgets,4,47992
212,2026-03-05,1059,us-west,toolkit-deluxe,tools,2,39998
213,2026-02-28,1119,eu-west,gadget-pro,gadgets,1,12999
214,2026-01-10,1150,us-west,gadget-mini,gadgets,3,4497
215,2026-03-30,1077,ap-south,gadget-mini,gadgets,4,5996
216,2026-04-20,1060,ap-south,widget-pro,widgets,1,9999
217,2026-03-15,1005,eu-west,gadget-pro,gadgets,3,38997
218,2026-02-05,1175,ap-south,toolkit-deluxe,tools,5,79995
219,2026-04-27,1073,us-east,toolkit-deluxe,tools,4,79996
220,2026-01-29,1158,eu-west,widget-pro,widgets,2,21996
221,2026-03-22,1079,us-west,gadget-mini,gadgets,1,1199
222,2026-03-16,1023,us-east,gadget-pro,gadgets,2,25998
223,2026-04-06,1051,eu-west,gadget-mini,gadgets,2,2998
224,2026-03-09,1042,eu-west,widget-pro,widgets,3,29997
225,2026-04-14,1029,ap-south,gadget-mini,gadgets,3,4497
226,2026-01-19,1173,us-east,gadget-pro,gadgets,2,31196
227,2026-04-19,1093,ap-south,toolkit-deluxe,tools,5,119990
228,2026-01-02,1031,ap-south,widget-basic,widgets,5,9995
229,2026-03-28,1149,eu-west,gadget-pro,gadgets,3,42894
230,2026-01-14,1120,eu-west,gadget-pro,gadgets,2,28596
231,2026-04-28,1165,eu-west,widget-basic,widgets,2,3998
232,2026-04-27,1166,ap-south,widget-basic,widgets,3,6594
233,2026-01-18,1077,us-east,gadget-pro,gadgets,1,10399
234,2026-01-13,1034,us-east,gadget-pro,gadgets,5,58495
235,2026-02-17,1107,ap-south,gadget-pro,gadgets,5,71490
236,2026-04-24,1125,us-west,toolkit,tools,1,4999
237,2026-02-05,1055,ap-south,toolkit,tools,3,11997
238,2026-01-31,1025,ap-south,gadget-pro,gadgets,3,46794
239,2026-03-11,1015,eu-west,toolkit-deluxe,tools,3,65994
240,2026-01-25,1023,eu-west,gadget-pro,gadgets,4,41596
241,2026-03-24,1005,us-west,toolkit-deluxe,tools,5,109990
242,2026-02-01,1052,eu-west,widget-basic,widgets,5,8995
243,2026-03-17,1084,us-west,widget-basic,widgets,2,3598
244,2026-02-05,1033,us-east,widget-pro,widgets,2,23996
245,2026-04-13,1169,eu-west,toolkit,tools,1,4499
246,2026-01-02,1150,us-west,widget-basic,widgets,2,3998
247,2026-01-23,1032,us-east,gadget-mini,gadgets,1,1499
248,2026-03-09,1121,ap-south,toolkit-deluxe,tools,1,15999
249,2026-03-07,1115,eu-west,gadget-pro,gadgets,1,12999
250,2026-03-20,1077,us-west,toolkit,tools,5,19995
251,2026-01-08,1109,us-east,gadget-pro,gadgets,4,51996
252,2026-03-04,1018,us-east,toolkit-deluxe,tools,4,87992
253,2026-03-19,1032,eu-west,widget-basic,widgets,1,1799
254,2026-02-18,1075,eu-west,gadget-mini,gadgets,5,7495
255,2026-01-13,1167,ap-south,gadget-pro,gadgets,1,15598
256,2026-02-25,1105,us-west,toolkit-deluxe,tools,2,39998
257,2026-02-21,1080,ap-south,gadget-mini,gadgets,1,1499
258,2026-03-27,1039,eu-west,gadget-pro,gadgets,3,38997
259,2026-01-09,1023,ap-south,toolkit-deluxe,tools,1,15999
260,2026-04-06,1033,us-east,gadget-pro,gadgets,3,42894
261,2026-03-17,1084,us-east,toolkit,tools,5,24995
262,2026-02-22,1184,us-east,toolkit-deluxe,tools,4,79996
263,2026-03-18,1026,eu-west,widget-basic,widgets,3,5997
264,2026-01-20,1057,us-west,toolkit,tools,4,21992
265,2026-04-19,1029,eu-west,widget-basic,widgets,3,5997
266,2026-04-14,1196,us-west,gadget-mini,gadgets,5,7495
267,2026-03-19,1007,us-east,toolkit,tools,3,16494
268,2026-03-31,1086,eu-west,widget-pro,widgets,3,35994
269,2026-01-24,1144,us-east,gadget-mini,gadgets,2,3596
270,2026-01-09,1023,ap-south,toolkit-deluxe,tools,1,17999
271,2026-02-18,1087,us-west,toolkit-deluxe,tools,4,79996
272,2026-02-09,1198,eu-west,widget-pro,widgets,3,32994
273,2026-04-24,1040,us-east,toolkit,tools,2,7998
274,2026-03-28,1113,us-east,toolkit,tools,3,11997
275,2026-03-04,1106,ap-south,toolkit-deluxe,tools,4,79996
276,2026-04-07,1088,us-west,gadget-mini,gadgets,1,1499
277,2026-02-06,1124,us-east,gadget-pro,gadgets,5,71490
278,2026-01-06,1153,eu-west,toolkit,tools,4,17996
279,2026-01-27,1196,us-east,widget-basic,widgets,2,3998
280,2026-02-07,1001,eu-west,widget-pro,widgets,1,9999
281,2026-01-23,1136,ap-south,gadget-pro,gadgets,4,46796
282,2026-03-06,1018,us-west,toolkit-deluxe,tools,3,59997
283,2026-02-25,1019,us-east,gadget-pro,gadgets,4,41596
284,2026-03-15,1074,ap-south,gadget-mini,gadgets,4,5996
285,2026-01-03,1158,ap-south,widget-basic,widgets,2,3998
286,2026-01-12,1062,eu-west,gadget-pro,gadgets,1,12999
287,2026-03-09,1079,ap-south,gadget-pro,gadgets,4,41596
288,2026-01-29,1019,eu-west,toolkit-deluxe,tools,2,39998
289,2026-03-09,1198,us-east,toolkit,tools,2,9998
290,2026-04-04,1060,eu-west,gadget-mini,gadgets,2,3596
291,2026-02-02,1154,us-west,widget-basic,widgets,2,3598
292,2026-01-23,1118,us-east,widget-pro,widgets,4,47992
293,2026-03-29,1082,ap-south,toolkit,tools,5,24995
294,2026-01-20,1120,eu-west,toolkit-deluxe,tools,1,19999
295,2026-04-12,1014,eu-west,gadget-pro,gadgets,5,64995
296,2026-02-09,1009,us-east,gadget-mini,gadgets,4,5996
297,2026-04-17,1165,eu-west,widget-basic,widgets,1,1999
298,2026-03-01,1189,ap-south,widget-basic,widgets,5,9995
299,2026-04-27,1166,ap-south,widget-basic,widgets,5,11990
300,2026-03-19,1038,eu-west,widget-pro,widgets,5,49995
301,2026-01-14,1182,ap-south,widget-basic,widgets,3,7194
302,2026-01-06,1112,us-west,widget-basic,widgets,4,7196
303,2026-02-16,1099,us-west,toolkit,tools,3,14997
304,2026-03-28,1161,eu-west,gadget-pro,gadgets,1,12999
305,2026-01-09,1142,eu-west,toolkit-deluxe,tools,1,19999
306,2026-02-06,1038,ap-south,toolkit-deluxe,tools,5,99995
307,2026-03-16,1089,us-east,gadget-mini,gadgets,2,3296
308,2026-01-17,1079,ap-south,gadget-mini,gadgets,1,1499
309,2026-03-24,1032,ap-south,toolkit,tools,3,17994
310,2026-03-24,1130,us-east,toolkit-deluxe,tools,4,87992
311,2026-02-16,1054,us-east,gadget-mini,gadgets,2,2998
312,2026-01-25,1039,ap-south,gadget-mini,gadgets,2,2698
313,2026-04-19,1129,eu-west,widget-basic,widgets,1,2398
314,2026-03-26,1033,us-east,toolkit,tools,5,24995
315,2026-01-20,1177,ap-south,toolkit,tools,2,8998
316,2026-04-03,1105,us-west,toolkit,tools,1,4999
317,2026-02-26,1192,us-west,gadget-mini,gadgets,3,4497
318,2026-01-30,1079,ap-south,toolkit-deluxe,tools,2,39998
319,2026-02-17,1112,us-west,gadget-pro,gadgets,5,71490
320,2026-04-10,1135,eu-west,gadget-pro,gadgets,5,64995
321,2026-04-15,1035,us-west,gadget-pro,gadgets,5,58495
322,2026-03-24,1141,us-east,gadget-mini,gadgets,3,4497
323,2026-02-06,1069,us-east,widget-basic,widgets,2,3198
324,2026-04-17,1056,us-west,gadget-pro,gadgets,1,12999
325,2026-04-30,1013,eu-west,gadget-pro,gadgets,4,41596
326,2026-01-31,1095,eu-west,gadget-pro,gadgets,1,12999
327,2026-02-10,1037,us-east,widget-pro,widgets,3,23997
328,2026-02-06,1178,us-east,widget-pro,widgets,4,47992
329,2026-02-27,1020,ap-south,widget-pro,widgets,1,9999
330,2026-01-28,1140,eu-west,widget-basic,widgets,2,4796
331,2026-01-15,1060,ap-south,toolkit-deluxe,tools,3,71994
332,2026-01-07,1163,us-east,gadget-mini,gadgets,4,5396
333,2026-01-09,1152,ap-south,toolkit,tools,4,15996
334,2026-03-22,1061,us-east,toolkit,tools,5,24995
335,2026-02-07,1157,us-west,toolkit-deluxe,tools,1,19999
336,2026-03-15,1170,us-west,gadget-mini,gadgets,2,2998
337,2026-03-09,1134,us-east,toolkit-deluxe,tools,1,19999
338,2026-02-19,1011,us-east,toolkit,tools,4,23992
339,2026-02-17,1091,ap-south,toolkit-deluxe,tools,1,19999
340,2026-01-31,1197,eu-west,widget-basic,widgets,1,2198
341,2026-01-18,1139,eu-west,toolkit,tools,3,11997
342,2026-04-17,1178,us-west,gadget-mini,gadgets,4,7192
343,2026-04-14,1183,us-west,gadget-pro,gadgets,1,11699
344,2026-02-07,1051,us-east,gadget-pro,gadgets,1,11699
345,2026-04-30,1101,eu-west,widget-basic,widgets,5,9995
346,2026-02-02,1073,ap-south,toolkit,tools,2,7998
347,2026-04-21,1069,us-east,gadget-mini,gadgets,3,4944
348,2026-02-25,1098,eu-west,widget-basic,widgets,4,7996
349,2026-03-05,1094,us-west,gadget-mini,gadgets,4,6592
350,2026-04-13,1020,eu-west,toolkit,tools,4,15996
351,2026-03-11,1026,us-west,gadget-pro,gadgets,3,38997
352,2026-03-26,1114,eu-west,widget-basic,widgets,3,5997
353,2026-01-22,1089,ap-south,toolkit,tools,4,21992
354,2026-04-04,1157,us-east,gadget-pro,gadgets,3,46794
355,2026-03-23,1019,eu-west,gadget-pro,gadgets,1,15598
356,2026-02-16,1007,ap-south,toolkit-deluxe,tools,2,39998
357,2026-01-05,1060,ap-south,widget-pro,widgets,1,8999
358,2026-02-16,1008,eu-west,toolkit-deluxe,tools,5,99995
359,2026-03-28,1095,us-west,toolkit,tools,3,14997
360,2026-03-15,1093,us-east,gadget-pro,gadgets,5,58495
361,2026-03-25,1029,eu-west,gadget-pro,gadgets,2,25998
362,2026-03-05,1143,us-west,widget-basic,widgets,4,7996
363,2026-04-10,1054,eu-west,widget-basic,widgets,4,7996
364,2026-03-30,1031,eu-west,toolkit,tools,2,9998
365,2026-02-27,1022,us-east,widget-pro,widgets,4,35996
366,2026-03-27,1140,eu-west,toolkit-deluxe,tools,1,19999
367,2026-04-25,1182,eu-west,toolkit,tools,2,9998
368,2026-04-12,1057,us-west,toolkit-deluxe,tools,5,99995
369,2026-04-12,1126,us-west,widget-basic,widgets,2,3598
370,2026-03-12,1119,eu-west,widget-basic,widgets,3,5997
371,2026-03-20,1079,us-west,toolkit,tools,1,3999
372,2026-03-09,1147,ap-south,gadget-pro,gadgets,4,51996
373,2026-02-10,1115,us-west,widget-basic,widgets,1,2198
374,2026-01-17,1163,eu-west,gadget-pro,gadgets,5,77990
375,2026-04-09,1128,us-west,toolkit,tools,4,17996
376,2026-03-08,1042,us-east,widget-basic,widgets,3,5397
377,2026-04-30,1088,eu-west,widget-pro,widgets,2,21996
378,2026-04-19,1050,eu-west,toolkit,tools,3,11997
379,2026-01-17,1157,eu-west,toolkit-deluxe,tools,3,65994
380,2026-03-06,1151,us-east,toolkit,tools,2,10996
381,2026-01-22,1184,us-west,toolkit,tools,5,27490
382,2026-04-18,1007,eu-west,toolkit,tools,1,4999
383,2026-03-24,1067,us-east,widget-basic,widgets,5,11990
384,2026-04-09,1158,us-west,toolkit-deluxe,tools,4,79996
385,2026-03-05,1074,us-east,toolkit-deluxe,tools,5,109990
386,2026-03-03,1076,eu-west,toolkit-deluxe,tools,4,71996
387,2026-03-30,1112,us-east,gadget-pro,gadgets,2,20798
388,2026-03-01,1155,ap-south,gadget-pro,gadgets,3,35097
389,2026-04-21,1187,eu-west,widget-pro,widgets,3,32994
390,2026-01-17,1131,ap-south,gadget-mini,gadgets,3,5394
391,2026-02-10,1031,us-east,toolkit,tools,4,17996
392,2026-02-01,1012,ap-south,gadget-mini,gadgets,1,1349
393,2026-04-21,1063,ap-south,gadget-mini,gadgets,4,5996
394,2026-04-30,1048,eu-west,widget-pro,widgets,3,29997
395,2026-03-07,1078,ap-south,widget-pro,widgets,4,39996
396,2026-01-12,1117,us-east,gadget-pro,gadgets,5,64995
397,2026-03-16,1012,us-west,widget-pro,widgets,1,9999
398,2026-03-18,1073,ap-south,gadget-mini,gadgets,4,7192
399,2026-04-19,1034,us-east,toolkit,tools,4,15996
400,2026-04-08,1011,eu-west,gadget-mini,gadgets,3,4497
401,2026-03-14,1092,us-east,gadget-pro,gadgets,2,25998
402,2026-01-10,1115,eu-west,toolkit,tools,5,24995
403,2026-04-16,1030,eu-west,toolkit,tools,5,24995
404,2026-02-20,1142,us-east,widget-pro,widgets,3,29997
405,2026-01-26,1102,us-west,gadget-mini,gadgets,5,7495
406,2026-01-06,1182,us-east,toolkit,tools,2,7998
407,2026-03-08,1155,ap-south,gadget-mini,gadgets,2,2998
408,2026-02-11,1041,us-west,toolkit,tools,3,14997
409,2026-03-17,1130,eu-west,gadget-pro,gadgets,5,64995
410,2026-04-01,1121,ap-south,toolkit,tools,3,14997
411,2026-02-12,1106,eu-west,widget-basic,widgets,1,2198
412,2026-04-12,1152,eu-west,toolkit,tools,1,5498
413,2026-03-25,1147,eu-west,gadget-pro,gadgets,5,77990
414,2026-03-16,1134,us-east,widget-pro,widgets,2,19998
415,2026-01-19,1008,ap-south,toolkit-deluxe,tools,2,47996
416,2026-01-25,1080,us-east,toolkit,tools,4,15996
417,2026-02-22,1105,us-west,gadget-pro,gadgets,2,28596
418,2026-04-22,1180,ap-south,toolkit,tools,1,5998
419,2026-03-13,1134,us-west,widget-pro,widgets,4,39996
420,2026-01-23,1087,eu-west,gadget-pro,gadgets,5,64995
421,2026-03-28,1156,eu-west,toolkit,tools,3,17994
422,2026-02-01,1076,us-west,gadget-pro,gadgets,5,64995
423,2026-04-09,1176,eu-west,widget-pro,widgets,2,19998
424,2026-02-10,1143,ap-south,toolkit-deluxe,tools,3,59997
425,2026-02-06,1173,eu-west,toolkit-deluxe,tools,5,79995
426,2026-04-25,1197,ap-south,toolkit,tools,3,14997
427,2026-01-06,1088,eu-west,widget-pro,widgets,1,9999
428,2026-04-06,1051,eu-west,gadget-pro,gadgets,2,25998
429,2026-04-30,1035,eu-west,toolkit,tools,3,14997
430,2026-02-01,1057,us-west,widget-basic,widgets,5,7995
431,2026-01-07,1084,us-west,toolkit-deluxe,tools,4,63996
